Period,Admissions,Feature1
622.42897672785455,360.57886112177999,1
622.42897672785455,649.1695241656721,100
622.42897672785455,-239.23512135323074,120
622.42897672785455,-1265.4812694617799,196
622.42897672785455,262.38613572071444,506
622.42897672785455,956.21987685643842,508
622.42897672785455,-751.60845286851099,199
622.42897672785455,856.62708581933828,438
622.42897672785455,1524.2797254846923,497
622.42897672785455,547.5511234050939,802
622.42897672785455,1487.812427834783,660
622.42897672785455,1257.6489820728007,369
622.42897672785455,391.39874367707296,343
622.42897672785455,772.92245173889376,427
622.42897672785455,2308.4495573308141,297
622.42897672785455,747.59998201986537,400
622.42897672785455,716.21561846907525,291
622.42897672785455,124.78530775130459,65
622.42897672785455,2007.7747724358389,88
622.42897672785455,1701.3287116164811,630
622.42897672785455,113.57300319471028,432
622.42897672785455,1385.5318300011413,884
622.42897672785455,1256.7165044270628,923
622.42897672785455,269.38745502358051,640
622.42897672785455,-228.0246269665854,868
622.42897672785455,439.52606563176886,532
622.42897672785455,859.87189877042817,333
622.42897672785455,1750.0440976768982,807
622.42897672785455,2848.5582968698022,236
622.42897672785455,-966.05047514728813,254
622.42897672785455,1062.4421325972712,758
622.42897672785455,578.34225857310878,188
622.42897672785455,588.27426391771496,67
622.42897672785455,790.56214996448807,632
622.42897672785455,-1132.6723242476826,117
622.42897672785455,160.11622572747336,277
622.42897672785455,1099.2481839122627,301
622.42897672785455,1208.7384312129273,29
622.42897672785455,853.18864755998698,726
622.42897672785455,1451.7703897622221,682
622.42897672785455,3475.3331900209951,860
622.42897672785455,1001.9713781173228,990
622.42897672785455,733.84321580418737,909
622.42897672785455,1143.0240882368312,947
622.42897672785455,624.22783264059217,328
622.42897672785455,2447.449121110134,620
622.42897672785455,-576.96812589959927,127
622.42897672785455,-1235.0074867347735,232
622.42897672785455,1093.8226163781883,963
622.42897672785455,-30.349973634219054,694
622.42897672785455,-413.93165989788986,275
622.42897672785455,1514.2129148662082,63
622.42897672785455,-1097.3456037945266,608
622.42897672785455,289.62991828778871,583
622.42897672785455,-293.15756036950154,346
