Period,Admissions,Feature1
607.70766698951354,1396.5635481151917,767
607.70766698951354,421.92534877117026,651
607.70766698951354,115.89922229960513,136
607.70766698951354,432.30573642066895,619
607.70766698951354,289.271013056269,862
607.70766698951354,-64.543198324107209,139
607.70766698951354,350.08763159861883,502
607.70766698951354,1195.3137099703015,602
607.70766698951354,-245.40055105946021,302
607.70766698951354,934.71457096401718,467
607.70766698951354,654.04047731071921,297
607.70766698951354,954.32176771786442,839
607.70766698951354,1787.4395924091609,905
607.70766698951354,506.81997259221782,556
607.70766698951354,1043.2606169381554,434
607.70766698951354,1231.091913011167,942
607.70766698951354,360.54255782657231,882
607.70766698951354,371.39042219065823,536
607.70766698951354,-99.105145806609926,32
607.70766698951354,885.72935739753655,585
607.70766698951354,-54.249661341351157,171
607.70766698951354,426.26631373743965,461
607.70766698951354,1467.9901018637102,922
607.70766698951354,1263.498868275522,591
607.70766698951354,1038.2850369908006,484
607.70766698951354,604.41973550210355,485
607.70766698951354,213.53759516049334,317
607.70766698951354,-340.30882807175681,138
607.70766698951354,1668.6709721908585,859
607.70766698951354,1249.3990356594095,875
607.70766698951354,623.69163009060685,367
607.70766698951354,1387.7476802985313,844
607.70766698951354,547.98126090742301,847
607.70766698951354,698.44940784348864,314
607.70766698951354,365.55797060934509,693
607.70766698951354,1085.7764379554401,972
607.70766698951354,434.61769665747954,46
607.70766698951354,803.53904302329897,342
607.70766698951354,1117.5065228994617,721
607.70766698951354,1219.5055441341024,940
607.70766698951354,581.62693017997537,820
607.70766698951354,-116.64977767831829,19
607.70766698951354,-12.970316302233073,162
607.70766698951354,647.11737868288742,818
607.70766698951354,298.24897878428146,927
607.70766698951354,972.83187998000062,628
607.70766698951354,140.79255467877229,74
607.70766698951354,592.22581112886587,864
607.70766698951354,835.34868506528778,855
607.70766698951354,310.92693153157654,224
607.70766698951354,794.11107892204075,181
607.70766698951354,359.63123060972879,202
607.70766698951354,613.7500636744569,445
607.70766698951354,-250.78058053133611,377
607.70766698951354,1211.0314607899409,323
607.70766698951354,1222.0004018370546,729
607.70766698951354,544.44150125261319,193
607.70766698951354,469.95684120984924,268
607.70766698951354,-455.43018029880704,104
607.70766698951354,911.15524822456837,580
607.70766698951354,156.30200258773129,185
607.70766698951354,990.51779068642008,406
607.70766698951354,641.57521212306642,778
607.70766698951354,294.18409145410908,188
607.70766698951354,1031.7367851927429,985
607.70766698951354,807.81919635155464,122
607.70766698951354,712.08297565437681,620
607.70766698951354,49.259687291840663,183
607.70766698951354,-293.96804726362734,446
607.70766698951354,1119.0716737068938,929
607.70766698951354,-316.99249627194183,312
607.70766698951354,708.79697716249575,319
607.70766698951354,1017.3870783894106,590
607.70766698951354,908.44357799216436,40
607.70766698951354,396.16852488086806,161
607.70766698951354,619.19113206628208,670
607.70766698951354,349.22466242071965,423
607.70766698951354,532.49423740978784,39
607.70766698951354,222.25888751138433,592
607.70766698951354,-10.153264870640754,29
607.70766698951354,460.6675520561887,409
607.70766698951354,460.24716702759088,557
607.70766698951354,1199.0919823293034,595
607.70766698951354,1086.7659365079035,947
607.70766698951354,1163.0570313548769,700
607.70766698951354,541.52534353846829,225
607.70766698951354,1582.9996756750033,795
607.70766698951354,637.08460656905754,903
