Period,Admissions,Feature1
599.5,228.0,128
599.5,136.0,36
599.5,669.0,569
599.5,907.0,807
599.5,1031.0,931
599.5,595.0,495
599.5,974.0,874
599.5,767.0,667
599.5,306.0,206
599.5,923.0,823
599.5,135.0,35
599.5,299.0,199
599.5,1093.0,993
599.5,610.0,510
599.5,569.0,469
599.5,785.0,685
599.5,1044.0,944
599.5,445.0,345
599.5,887.0,787
599.5,522.0,422
599.5,848.0,748
599.5,931.0,831
599.5,274.0,174
599.5,673.0,573
599.5,641.0,541
599.5,217.0,117
599.5,962.0,862
599.5,721.0,621
599.5,948.0,848
599.5,969.0,869
599.5,1032.0,932
599.5,926.0,826
599.5,503.0,403
599.5,822.0,722
599.5,1008.0,908
599.5,222.0,122
599.5,340.0,240
599.5,578.0,478
599.5,674.0,574
599.5,958.0,858
599.5,122.0,22
599.5,737.0,637
599.5,679.0,579
599.5,319.0,219
599.5,773.0,673
599.5,999.0,899
599.5,574.0,474
599.5,328.0,228
599.5,357.0,257
599.5,666.0,566
599.5,364.0,264
599.5,864.0,764
599.5,761.0,661
599.5,621.0,521
599.5,913.0,813
599.5,287.0,187
599.5,576.0,476
599.5,400.0,300
599.5,1094.0,994
599.5,881.0,781
599.5,483.0,383
599.5,103.0,3
599.5,808.0,708
599.5,749.0,649
599.5,146.0,46
599.5,233.0,133
599.5,849.0,749
599.5,966.0,866
599.5,342.0,242
599.5,889.0,789
599.5,223.0,123
599.5,945.0,845
599.5,420.0,320
599.5,557.0,457
599.5,404.0,304
599.5,496.0,396
599.5,723.0,623
599.5,563.0,463
599.5,419.0,319
599.5,418.0,318
599.5,765.0,665
599.5,231.0,131
599.5,1069.0,969
599.5,635.0,535
599.5,577.0,477
599.5,241.0,141
599.5,141.0,41
599.5,485.0,385
599.5,845.0,745
599.5,736.0,636
599.5,494.0,394
599.5,871.0,771
599.5,275.0,175
599.5,620.0,520
599.5,183.0,83
599.5,667.0,567
599.5,924.0,824
599.5,994.0,894
599.5,1022.0,922
599.5,922.0,822
599.5,769.0,669
599.5,495.0,395
599.5,489.0,389
599.5,444.0,344
599.5,657.0,557
599.5,536.0,436
599.5,436.0,336
599.5,820.0,720
599.5,968.0,868
599.5,501.0,401
599.5,558.0,458
599.5,898.0,798
599.5,680.0,580
599.5,663.0,563
599.5,170.0,70
599.5,819.0,719
599.5,973.0,873
599.5,902.0,802
599.5,950.0,850
599.5,942.0,842
599.5,777.0,677
599.5,1021.0,921
599.5,378.0,278
599.5,606.0,506
599.5,853.0,753
599.5,431.0,331
599.5,240.0,140
599.5,826.0,726
599.5,866.0,766
599.5,905.0,805
599.5,194.0,94
599.5,812.0,712
599.5,379.0,279
599.5,681.0,581
599.5,933.0,833
599.5,115.0,15
599.5,331.0,231
599.5,1060.0,960
