Period,Admissions,Feature1
596.0303782400498,-32.894998836543436,252
596.0303782400498,238.09732291365302,284
596.0303782400498,327.82629594997047,46
596.0303782400498,804.7313989237357,458
596.0303782400498,580.08218329258239,406
596.0303782400498,337.66228793100612,471
596.0303782400498,527.32370725936505,375
596.0303782400498,1059.5905317900142,906
596.0303782400498,114.08971764284142,64
596.0303782400498,724.43219520360162,536
596.0303782400498,2.929343958641482,236
596.0303782400498,576.59790832747251,669
596.0303782400498,229.69325384143431,107
596.0303782400498,65.383034114365302,77
596.0303782400498,197.74181253313992,171
596.0303782400498,391.77553583146334,224
596.0303782400498,95.40576917481269,160
596.0303782400498,274.74268851858659,24
596.0303782400498,857.19395292807144,876
596.0303782400498,1155.3428862528906,760
596.0303782400498,755.12041131329659,391
596.0303782400498,349.30477859000729,371
596.0303782400498,-73.849884213815528,12
596.0303782400498,960.04528544925938,722
596.0303782400498,881.30070785157602,811
596.0303782400498,725.93907973395392,581
596.0303782400498,868.69213699534441,424
596.0303782400498,860.01994955175417,677
596.0303782400498,775.76523129646796,570
596.0303782400498,145.16913909723769,1
596.0303782400498,233.23000993302671,71
596.0303782400498,403.65304390781523,352
596.0303782400498,1147.1698474849554,799
596.0303782400498,2.3067348941506225,135
596.0303782400498,435.01836812453536,549
596.0303782400498,330.19724474523071,238
596.0303782400498,834.73159364860112,540
596.0303782400498,1272.6214504479626,929
596.0303782400498,868.76097599963452,871
596.0303782400498,698.45149172983054,170
596.0303782400498,514.78547780123426,628
596.0303782400498,765.97080387568451,844
596.0303782400498,207.43825674825595,118
596.0303782400498,748.18034094900781,674
596.0303782400498,258.20328072435939,357
596.0303782400498,622.25910199454518,205
596.0303782400498,-26.819471539959721,89
596.0303782400498,416.14920447577617,687
596.0303782400498,810.83679258867437,594
596.0303782400498,123.21531641294982,52
596.0303782400498,262.57267205999074,173
596.0303782400498,274.13690362674032,97
596.0303782400498,259.60394971443816,401
596.0303782400498,708.02624010332624,249
596.0303782400498,839.64019138147876,679
596.0303782400498,763.06700521550317,787
596.0303782400498,616.62609711702271,515
596.0303782400498,657.43361903187485,644
596.0303782400498,427.174990116983,313
596.0303782400498,204.44733378100028,272
596.0303782400498,535.15354629039427,685
596.0303782400498,538.59872860796713,430
596.0303782400498,743.71141212126759,578
596.0303782400498,235.55965432448176,141
596.0303782400498,723.60891356068794,187
596.0303782400498,1335.0871755353714,950
596.0303782400498,307.98671218213627,571
596.0303782400498,765.91233694943332,697
596.0303782400498,16.343244457761728,235
596.0303782400498,-77.060999359033246,233
596.0303782400498,-29.575578919271607,218
596.0303782400498,598.02141291993303,579
596.0303782400498,1178.1073949024369,941
596.0303782400498,285.59452459347835,20
596.0303782400498,129.51344174036558,28
596.0303782400498,1176.9940888788449,948
596.0303782400498,1130.5023749181842,990
596.0303782400498,464.33440927301626,196
596.0303782400498,993.18056707207268,794
596.0303782400498,1080.409103001283,828
596.0303782400498,816.44028974187677,718
596.0303782400498,439.95416207211542,201
596.0303782400498,170.62226410524465,409
596.0303782400498,287.29606818933473,63
596.0303782400498,618.26197994577592,900
